ID,Nombre_Usuario,Plataforma,Seguidores,Siguiendo,Publicaciones,Me_Gusta_Promedio,Comentarios_Promedio,Es_Influencer,Fecha_Registro
78,francisco_s,Instagram,9000,750,290,1300,150,True,2022-05-05
79,olga_r,TikTok,180000,160,1000,32000,4000,True,2024-01-01
80,antonio_m,Twitter,7000,2300,1250,850,150,True,2021-06-06
81,carolina_s,Instagram,4000,600,240,750,85,False,2020-07-07
82,joaquin_r,TikTok,90000,210,670,14000,1700,True,2024-02-02
83,alicia_r,Facebook,100,180,18,12,2,False,2017-10-10
84,victor_s,Instagram,15000,850,360,1800,200,True,2022-06-06
85,nuria_m,TikTok,200000,120,1150,38000,4800,True,2024-03-03
86,angel_r,Twitter,5000,1900,1100,700,120,True,2021-07-07
87,marta_r,Instagram,2500,450,200,450,55,False,2020-08-08
88,hector_s,TikTok,60000,270,540,12000,1500,True,2024-04-04
89,sara_r,Facebook,300,400,45,40,6,False,2018-06-06
90,pedro_s,Instagram,7000,700,280,1200,140,True,2022-07-07
91,cristina_s,TikTok,150000,150,980,29000,3600,True,2024-05-05
92,manuel_r,Twitter,8000,2400,1350,900,160,True,2021-08-08
93,lorena_r,Instagram,2000,400,180,400,45,False,2020-09-09
94,javier_s,TikTok,80000,200,640,13000,1600,True,2024-06-06
95,ana_r,Facebook,150,250,25,20,3,False,2017-12-12
96,diego_s,Instagram,12000,800,340,1700,190,True,2022-08-08
97,maria_s,TikTok,250000,110,1450,47000,6200,True,2024-07-07
98,rafael_s,Twitter,6000,2300,1200,800,140,True,2021-09-09
99,isabel_s,Instagram,3000,500,230,600,70,False,2020-10-10
100,francisco_m,TikTok,70000,240,590,11000,1400,True,2024-08-08
